,年份,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Norway,1610,1710,1860,2050,2240,2470,2630,2850,3120,3570,4230,5320,6750,8380,9150,9960,11110,13110,15650,16420,15750,14940,15150,15710,17550,20830,23970,25080,26510,27830,30790,30220,30860,32700,35800,37920,36110,35550,36560,38250,39900,44760,54110,63790,69980,78440,87480,87900,88560,90400,99200,104340,104540,93080,81620,76160,80790
2,Luxembourg,1630,1680,1870,1920,2020,2070,2240,2560,3030,3350,4070,5230,6890,7930,8510,9080,10650,12940,15480,15490,14930,13490,13060,13130,15610,20090,26020,28700,31500,35370,39210,40270,41570,46020,48610,50650,47100,46470,46460,45630,42630,46000,62800,73810,71580,86210,88000,71220,78220,76260,75450,75500,76470,74760,71200,70790,69420
3,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19120,17740,17980,18080,20360,25650,33650,35250,36930,37550,40920,40820,41900,45450,48360,48030,44940,43100,43520,40930,39700,45620,53800,61620,63990,62830,63190,70370,77570,79720,84880,88740,86560,85800,82130,78890,500000
4,Liechtenstein,0,0,0,0,0,0,0,0,0,0,5120,6500,8210,10150,11190,12370,14760,18510,22610,22610,20320,18770,19010,19730,22860,31170,41500,43620,45480,47580,54350,56710,61990,70060,78590,80150,77640,78650,78870,68240,65060,68450,78680,92730,104070,112190,121890,116430,0,0,0,0,0,0,0,0,0
5,Denmark,0,0,0,0,0,0,0,0,3280,3650,4310,5580,6800,8080,8960,9780,11170,13560,15090,14180,12860,11710,11520,11840,14070,17760,22130,23050,24370,25540,28700,28570,30360,32560,34770,35150,33460,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,57710,56140,60190
6,Sweden,2310,2490,2740,2960,3190,3460,3770,4100,4500,4890,5670,7050,8580,10160,10720,11290,12460,14790,17300,17530,15760,13550,13020,13080,15330,19360,24190,26090,27760,29110,31340,28200,27690,28070,30390,31380,31110,30970,31280,29450,28810,32460,39450,45410,48820,51980,55350,51860,53870,55660,58210,60970,61040,57750,54030,52330,55040
7,United States,3280,3410,3610,3880,4190,4370,4740,5070,5230,5620,6280,7290,7980,8510,8960,9590,10760,12200,13380,14360,14220,14570,16210,17460,19110,21390,23490,23770,24060,24270,25680,26390,27650,29040,30270,31270,32030,33670,35960,36710,37310,39770,43510,46190,47880,48500,48980,47730,48990,50570,52760,53940,55850,56700,57170,59160,62850
8,Iceland,1540,1740,2050,2440,2980,3110,2790,2490,2650,3080,3740,4960,6690,7490,7970,9010,10860,13180,15440,16240,15100,12580,11900,11930,14250,19100,23470,24210,24810,25260,26510,26100,25660,25490,27320,28090,29070,30400,31550,30710,30930,33720,42030,50700,53610,61930,50100,41850,36250,37590,40680,46960,48230,50150,55120,60740,67950
9,Netherlands,1220,1310,1460,1700,1840,2000,2230,2480,2820,3210,3850,5070,6370,7630,8350,9100,10460,12760,14830,14000,12350,11070,10730,10330,11690,14720,18570,19540,20320,21280,23520,24040,25370,27690,29750,29800,28260,28670,28810,27390,27020,30950,37280,42050,45910,49110,52670,53670,53900,54480,52930,52950,51980,49810,46900,46870,51260
10,Japan,610,690,800,890,1030,1200,1430,1660,1830,2120,2720,3640,4430,5150,5410,5950,7450,9450,10860,11120,10550,10270,10520,11480,13850,18180,24910,27000,27810,28590,30590,33430,36980,42110,43150,40040,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38800,43440,46880,49480,48280,43950,38840,37880,38470,41340
