时间,国内生产总值(亿元),人均国内生产总值(元)
1978,3678.7,385
1979,4100.5,423
1980,4587.6,468
1981,4935.8,497
1982,5373.4,533
1983,6020.9,588
1984,7278.5,702
1985,9098.9,866
1986,10376.2,973
1987,12174.6,1123
1988,15180.4,1378
1989,17179.7,1536
1990,18872.9,1663
1991,22005.6,1912
1992,27194.5,2334
1993,35673.2,3027
1994,48637.5,4081
1995,61339.9,5091
1996,71813.6,5898
1997,79715,6481
1998,85195.5,6860
1999,90564.4,7229
2000,100280.1,7942
2001,110863.1,8717
2002,121717.4,9506
2003,137422,10666
2004,161840.2,12487
2005,187318.9,14368
2006,219438.5,16738
2007,270092.3,20494
2008,319244.6,24100
2009,348517.7,26180
2010,412119.3,30808
2011,487940.2,36277
2012,538580,39771
2013,592963.2,43497
2014,643563.1,46912
2015,688858.2,49922
2016,746395.1,53783
2017,832035.9,59592
2018,919281.1,65534
2019,986515.2,70078
2020,1013567,71828
2021,1149237,81370
2022,1210207.2,85698
