,单张,对子,金花,顺子,同花顺,豹子
1,74358,16880,4979,3316,228,239
2,93423,31053,9581,6476,462,455
3,98302,42563,14147,9505,691,747
4,99549,52219,18347,12354,852,913
5,99884,60209,22558,15155,1081,1181
6,99970,66954,26301,17984,1299,1373
7,99991,72343,29840,20852,1571,1594
8,99996,77326,33124,23180,1728,1930
9,99999,80996,36768,25891,1860,2125
10,100000,84059,39785,27959,2159,2320
11,100000,86651,43054,30557,2385,2633
12,100000,88977,45370,32817,2562,2750
13,100000,90776,48176,34942,2829,2976
14,100000,92270,50434,36901,2990,3237
15,100000,93460,53031,39061,3310,3417
16,100000,94538,55700,41170,3282,3650
17,100000,95384,57547,43051,3715,3913
